iter	Passed	Remaining
0	337	168367
1	564	140495
2	788	130555
3	1008	125083
4	1277	126501
5	1484	122188
6	1717	120963
7	1934	118968
8	2199	120002
9	2434	119275
10	2661	118321
11	2893	117661
12	3113	116641
13	3359	116611
14	3580	115784
15	3814	115391
16	4028	114447
17	4263	114161
18	4480	113423
19	4717	113217
20	4949	112907
21	5188	112728
22	5357	111108
23	5588	110830
24	5780	109826
25	6031	109965
26	6245	109409
27	6466	109012
28	6703	108872
29	6951	108913
30	7174	108546
31	7433	108711
32	7670	108555
33	7874	107928
34	8175	108623
35	8424	108587
36	8680	108624
37	8897	108176
38	9133	107962
39	9389	107981
40	9663	108184
41	9928	108273
42	10125	107610
43	10366	107432
44	10575	106926
45	10834	106928
46	11068	106680
47	11288	106295
48	11514	105982
49	11764	105876
50	11970	105389
51	12170	104852
52	12399	104580
53	12590	103990
54	12788	103466
55	13028	103298
56	13235	102868
57	13493	102831
58	13724	102586
59	13937	102205
60	14171	101986
61	14389	101656
62	14603	101298
63	14862	101253
64	15077	100902
65	15340	100872
66	15553	100514
67	15789	100308
68	16033	100152
69	16289	100063
70	16526	99854
71	16766	99670
72	17018	99547
73	17226	99168
74	17449	98878
75	17689	98689
76	17929	98497
77	18144	98165
78	18395	98030
79	18614	97726
80	18815	97331
81	19080	97263
82	19324	97089
83	19577	96956
84	19860	96965
85	20056	96550
86	20293	96336
87	20482	95897
88	20695	95570
89	20946	95420
90	21156	95087
91	21406	94934
92	21635	94686
93	21894	94566
94	22138	94380
95	22393	94238
96	22632	94027
97	22864	93791
98	23078	93481
99	23348	93392
100	23571	93119
101	23850	93064
102	24054	92714
103	24262	92383
104	24508	92198
105	24852	92376
106	25140	92337
107	25385	92139
108	25774	92456
109	26129	92641
110	26379	92445
111	26668	92387
112	27022	92545
113	27283	92379
114	27528	92161
115	27789	91993
116	28021	91729
117	28258	91481
118	28571	91477
119	28894	91498
120	29424	92165
121	29916	92692
122	30371	93090
123	30690	93061
124	30954	92864
125	31249	92757
126	31561	92697
127	31924	92779
128	32209	92634
129	32468	92410
130	32715	92151
131	32992	91978
132	33267	91797
133	33563	91673
134	33978	91867
135	34310	91830
136	34658	91831
137	35026	91881
138	35361	91836
139	35741	91906
140	36145	92029
141	36434	91855
142	36790	91847
143	37167	91885
